numAtividades,esforcoRealE,cpiE,idProjeto,esfocoI,cpiI,esfocoT,cpiT,esfocoC,cpiC
6,4.1,1.97561,1,33.1,1,7.6737,18.7,2.38503,5,2.14
9,4.5,2.2,2,51.1,1,6.7319,10.8,2.2037,0.8,10
5,8.1,1.18519,3,3.7.3,1.23056,3.8,4.34211,2.2,2.5
7,1.3,3.30769,4,14.5,2.32414,4.2,3.09524,,
6,2.1,2.2381,5,8.7,4.36782,6,2.4,2.7,1.85185
5,2.7,1.59259,6,16.4,1.48171,,,2.6,3.19231
5,,,7,16.4,1.89634,3.2,5.25,1.8,3.44444
9,3.1,1.87097,8,5.9,5.23729,2.2,281.818,,
6,1.8,3.77778,9,40,1.33,6.5,3.07692,3,2.56667
4,1.5,2.93333,10,19.5,2.25641,,,,
11,5.7,3.61404,11,110.8,1.21029,,,,
9,5.3,1.41509,12,17,2.53529,10.5,1.79048,,
17,6.8,3.08824,13,116.4,1.56014,29.8,1.88591,8.6,3.56977
4,2,1.35,14,8,2.025,8,1.3,,